,rerun,bootstrap,group_label_acc,gsm_repref_corr,mean_rep_ism_gsm_corr,mean_ref_ism_gsm_corr,stdev_rep_ism_gsm_corr,stdev_ref_ism_gsm_corr
0,1,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,2,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,3,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,4,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,5,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,6,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,7,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,8,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,9,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,10,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,11,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,12,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,13,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,14,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,15,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,16,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,17,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,18,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,19,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,20,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,21,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,22,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,23,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,24,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,25,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,26,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,27,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,28,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,29,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,30,0,0.677682221,0.677865457,0.003259247,0.00357018,0.002080367,0.0021826
0,1,100,0.752844246,0.880639792,0.008110475,0.006774864,0.003412106,0.003154306
0,2,100,0.784183707,0.871318345,0.008015229,0.006774864,0.002809513,0.003154306
0,3,100,0.774209976,0.856653756,0.007314721,0.006774864,0.003055443,0.003154306
0,4,100,0.624062465,0.881896649,0.007665322,0.006774864,0.002782637,0.003154306
0,5,100,0.57790756,0.837373947,0.008165576,0.006774864,0.00315732,0.003154306
0,6,100,0.786615737,0.877986869,0.00812457,0.006774864,0.002892363,0.003154306
0,7,100,0.81108841,0.888082693,0.007274529,0.006774864,0.002489811,0.003154306
0,8,100,0.559595787,0.868134503,0.007571988,0.006774864,0.002695942,0.003154306
0,9,100,0.576890078,0.865443522,0.007484817,0.006774864,0.002606837,0.003154306
0,10,100,0.739108457,0.860809615,0.007586297,0.006774864,0.002988812,0.003154306
0,11,100,0.766768007,0.883530461,0.007722435,0.006774864,0.003170299,0.003154306
0,12,100,0.748429993,0.885030507,0.007986657,0.006774864,0.002998872,0.003154306
0,13,100,0.742612983,0.860547422,0.008019336,0.006774864,0.003679953,0.003154306
0,14,100,0.742152709,0.883561847,0.007629717,0.006774864,0.002953758,0.003154306
0,15,100,0.774142801,0.867034966,0.007825904,0.006774864,0.00295434,0.003154306
0,16,100,0.780000702,0.888774247,0.007946823,0.006774864,0.002953764,0.003154306
0,17,100,0.763471516,0.882997614,0.00802515,0.006774864,0.003126477,0.003154306
0,18,100,0.761567897,0.857185015,0.007634127,0.006774864,0.003058328,0.003154306
0,19,100,0.793500194,0.877340919,0.007427284,0.006774864,0.002856589,0.003154306
0,20,100,0.726938129,0.877003125,0.007656614,0.006774864,0.00308683,0.003154306
0,21,100,0.610769811,0.831033911,0.007176992,0.006774864,0.002569984,0.003154306
0,22,100,0.63981643,0.880240444,0.007572534,0.006774864,0.002343682,0.003154306
0,23,100,0.786226051,0.885900039,0.007643975,0.006774864,0.002964572,0.003154306
0,24,100,0.771671459,0.878166101,0.007728918,0.006774864,0.00310529,0.003154306
0,25,100,0.769609349,0.881929078,0.007703747,0.006774864,0.002781451,0.003154306
0,26,100,0.7893097,0.889069293,0.007885956,0.006774864,0.002849829,0.003154306
0,27,100,0.770366306,0.877460165,0.007913676,0.006774864,0.002698694,0.003154306
0,28,100,0.777086056,0.866612573,0.007996818,0.006774864,0.003426961,0.003154306
0,29,100,0.762710014,0.849838782,0.007519363,0.006774864,0.003148297,0.003154306
0,30,100,0.778562568,0.849674991,0.008186254,0.006774864,0.003152791,0.003154306
0,1,200,0.799086107,0.909656093,0.008045329,0.006572228,0.003426383,0.003222216
0,2,200,0.828278494,0.925707668,0.008167699,0.006572228,0.003122776,0.003222216
0,3,200,0.761223922,0.919249636,0.007790732,0.006572228,0.00318345,0.003222216
0,4,200,0.802699807,0.912791441,0.008081777,0.006572228,0.003137356,0.003222216
0,5,200,0.798822652,0.90538529,0.008244216,0.006572228,0.002925279,0.003222216
0,6,200,0.78843309,0.920374936,0.007878116,0.006572228,0.00309567,0.003222216
0,7,200,0.809906526,0.922711414,0.007651184,0.006572228,0.003128591,0.003222216
0,8,200,0.835208778,0.930969019,0.007704298,0.006572228,0.002990989,0.003222216
0,9,200,0.781351157,0.912940661,0.00803936,0.006572228,0.003150481,0.003222216
0,10,200,0.784322251,0.898323736,0.007910619,0.006572228,0.002708014,0.003222216
0,11,200,0.79574808,0.915085496,0.008575828,0.006572228,0.00310131,0.003222216
0,12,200,0.820934909,0.930346992,0.007855008,0.006572228,0.003219406,0.003222216
0,13,200,0.815503974,0.922641913,0.007813989,0.006572228,0.003238147,0.003222216
0,14,200,0.807560943,0.925170406,0.007733789,0.006572228,0.003211091,0.003222216
0,15,200,0.807046959,0.918769957,0.008206201,0.006572228,0.002934128,0.003222216
0,16,200,0.811334097,0.912669929,0.00792986,0.006572228,0.002868883,0.003222216
0,17,200,0.684986219,0.915777557,0.007855263,0.006572228,0.002982738,0.003222216
0,18,200,0.71461688,0.904868281,0.007893839,0.006572228,0.003395238,0.003222216
0,19,200,0.770701945,0.925990047,0.007733385,0.006572228,0.003105227,0.003222216
0,20,200,0.573000422,0.898977551,0.007854942,0.006572228,0.002875632,0.003222216
0,21,200,0.609589508,0.903261473,0.007560782,0.006572228,0.003011279,0.003222216
0,22,200,0.817996415,0.928501038,0.008068551,0.006572228,0.00310256,0.003222216
0,23,200,0.791798481,0.915506465,0.008152305,0.006572228,0.003271845,0.003222216
0,24,200,0.631646742,0.886511081,0.007827482,0.006572228,0.002682633,0.003222216
0,25,200,0.809036036,0.903746436,0.007609866,0.006572228,0.002765623,0.003222216
0,26,200,0.791661931,0.879599101,0.008005687,0.006572228,0.002779225,0.003222216
0,27,200,0.846864207,0.917856915,0.007925306,0.006572228,0.002832955,0.003222216
0,28,200,0.812906483,0.925797862,0.007804888,0.006572228,0.003321194,0.003222216
0,29,200,0.825100198,0.924268145,0.008248243,0.006572228,0.002975826,0.003222216
0,30,200,0.745263116,0.913438062,0.007501577,0.006572228,0.003024232,0.003222216
0,1,400,0.826172178,0.93965235,0.008241127,0.006778108,0.003278645,0.003165886
0,2,400,0.798845914,0.935318283,0.008072748,0.006778108,0.002966189,0.003165886
0,3,400,0.831957381,0.939478547,0.0080283,0.006778108,0.003313417,0.003165886
0,4,400,0.818315344,0.945870799,0.008096271,0.006778108,0.003040185,0.003165886
0,5,400,0.805435887,0.94378954,0.008071569,0.006778108,0.003107105,0.003165886
0,6,400,0.828257649,0.92983129,0.008087781,0.006778108,0.002934316,0.003165886
0,7,400,0.824284251,0.943167613,0.00804532,0.006778108,0.003249113,0.003165886
0,8,400,0.822500254,0.927540393,0.008107815,0.006778108,0.003117387,0.003165886
0,9,400,0.822776833,0.938208451,0.00808981,0.006778108,0.003257291,0.003165886
0,10,400,0.768774601,0.935881462,0.008045953,0.006778108,0.003090952,0.003165886
0,11,400,0.81723123,0.943185387,0.008287481,0.006778108,0.003072039,0.003165886
0,12,400,0.821017436,0.943591454,0.007870533,0.006778108,0.00319125,0.003165886
0,13,400,0.820822411,0.939592713,0.007931071,0.006778108,0.003225481,0.003165886
0,14,400,0.819978935,0.941303199,0.007839562,0.006778108,0.003252312,0.003165886
0,15,400,0.802999999,0.943389914,0.007976177,0.006778108,0.003061435,0.003165886
0,16,400,0.824778765,0.939963798,0.008169336,0.006778108,0.003284615,0.003165886
0,17,400,0.809167132,0.944158844,0.008105413,0.006778108,0.003243151,0.003165886
0,18,400,0.80212637,0.94082319,0.007983624,0.006778108,0.003139748,0.003165886
0,19,400,0.821604366,0.930855068,0.008179994,0.006778108,0.003167078,0.003165886
0,20,400,0.79503597,0.939437355,0.008067895,0.006778108,0.003168868,0.003165886
0,21,400,0.806058064,0.932273727,0.007660709,0.006778108,0.002952658,0.003165886
0,22,400,0.814295649,0.942051313,0.008053155,0.006778108,0.00324978,0.003165886
0,23,400,0.830476195,0.942780521,0.008173376,0.006778108,0.00325834,0.003165886
0,24,400,0.809457561,0.932175048,0.007932483,0.006778108,0.002993869,0.003165886
0,25,400,0.799054873,0.940463677,0.00811161,0.006778108,0.003176858,0.003165886
0,26,400,0.825017757,0.935735141,0.008080316,0.006778108,0.003292101,0.003165886
0,27,400,0.821728306,0.914089007,0.007785756,0.006778108,0.002971427,0.003165886
0,28,400,0.824551763,0.93826264,0.008266498,0.006778108,0.003342611,0.003165886
0,29,400,0.813392731,0.942470134,0.007933756,0.006778108,0.003161733,0.003165886
0,30,400,0.725281898,0.916426487,0.007953156,0.006778108,0.002909284,0.003165886
0,1,800,0.826242364,0.947561532,0.008474336,0.006853572,0.003186344,0.003137161
0,2,800,0.844303889,0.949773426,0.007974801,0.006853572,0.003100893,0.003137161
0,3,800,0.80692216,0.946249756,0.008099206,0.006853572,0.003225667,0.003137161
0,4,800,0.835774492,0.949313496,0.008259452,0.006853572,0.003039261,0.003137161
0,5,800,0.842119033,0.949604016,0.008182527,0.006853572,0.003070154,0.003137161
0,6,800,0.833200112,0.941814757,0.008252446,0.006853572,0.002888442,0.003137161
0,7,800,0.837373695,0.956437444,0.008057897,0.006853572,0.003204584,0.003137161
0,8,800,0.833901368,0.949309587,0.007875797,0.006853572,0.003017418,0.003137161
0,9,800,0.825768154,0.948821758,0.008005626,0.006853572,0.003109307,0.003137161
0,10,800,0.820847579,0.95362116,0.00792911,0.006853572,0.00313686,0.003137161
0,11,800,0.832427307,0.944236859,0.008445534,0.006853572,0.002927283,0.003137161
0,12,800,0.839274281,0.951871544,0.00820671,0.006853572,0.003116835,0.003137161
0,13,800,0.834134581,0.949402271,0.008250309,0.006853572,0.003174382,0.003137161
0,14,800,0.827644383,0.930807893,0.008128122,0.006853572,0.003054056,0.003137161
0,15,800,0.832156738,0.950980857,0.008125434,0.006853572,0.00296552,0.003137161
0,16,800,0.818751861,0.949730584,0.008180409,0.006853572,0.00297245,0.003137161
0,17,800,0.84390631,0.95229861,0.008126432,0.006853572,0.002974223,0.003137161
0,18,800,0.835800418,0.951884804,0.008152346,0.006853572,0.003077556,0.003137161
0,19,800,0.803490552,0.94310445,0.008094979,0.006853572,0.002879324,0.003137161
0,20,800,0.826492209,0.947271389,0.00821219,0.006853572,0.003113756,0.003137161
0,21,800,0.837111095,0.947535998,0.007832781,0.006853572,0.003178154,0.003137161
0,22,800,0.833283692,0.946282888,0.008282411,0.006853572,0.003007266,0.003137161
0,23,800,0.824869433,0.946564961,0.008314161,0.006853572,0.003057091,0.003137161
0,24,800,0.810499548,0.954840089,0.008195109,0.006853572,0.003182899,0.003137161
0,25,800,0.629148471,0.939948126,0.008195443,0.006853572,0.003120909,0.003137161
0,26,800,0.831799938,0.944083166,0.00801497,0.006853572,0.003019975,0.003137161
0,27,800,0.842756137,0.953426009,0.007733371,0.006853572,0.002923144,0.003137161
0,28,800,0.845717742,0.948808196,0.008333866,0.006853572,0.003236031,0.003137161
0,29,800,0.848612908,0.95255018,0.008265936,0.006853572,0.003072244,0.003137161
0,30,800,0.846792262,0.948878132,0.007996379,0.006853572,0.003115537,0.003137161
0,1,1600,0.843069835,0.953163549,0.008366194,0.006982261,0.003162741,0.003242392
0,2,1600,0.861459394,0.955976825,0.00827712,0.006982261,0.003090074,0.003242392
0,3,1600,0.805699738,0.953272106,0.008129524,0.006982261,0.003217056,0.003242392
0,4,1600,0.843817285,0.953010154,0.008181701,0.006982261,0.002991828,0.003242392
0,5,1600,0.847870615,0.95921095,0.008245954,0.006982261,0.003129194,0.003242392
0,6,1600,0.8552795,0.956820319,0.008178013,0.006982261,0.003009574,0.003242392
0,7,1600,0.846926357,0.955344973,0.008204611,0.006982261,0.002967758,0.003242392
0,8,1600,0.830567187,0.954367456,0.008042961,0.006982261,0.003120393,0.003242392
0,9,1600,0.818785916,0.950991786,0.007968627,0.006982261,0.00304038,0.003242392
0,10,1600,0.821056136,0.956326383,0.008049426,0.006982261,0.003141142,0.003242392
0,11,1600,0.836386125,0.959456208,0.008341239,0.006982261,0.003069405,0.003242392
0,12,1600,0.842133346,0.950503254,0.008285339,0.006982261,0.003028419,0.003242392
0,13,1600,0.848250266,0.95230759,0.008280209,0.006982261,0.003055586,0.003242392
0,14,1600,0.841555701,0.953896528,0.008155406,0.006982261,0.00320699,0.003242392
0,15,1600,0.833744824,0.958328568,0.008260646,0.006982261,0.003107638,0.003242392
0,16,1600,0.841698851,0.955131718,0.008224982,0.006982261,0.003094777,0.003242392
0,17,1600,0.840282425,0.956406787,0.008154945,0.006982261,0.003053653,0.003242392
0,18,1600,0.845341011,0.95539517,0.008165894,0.006982261,0.003082159,0.003242392
0,19,1600,0.857015812,0.948872662,0.008155448,0.006982261,0.00293577,0.003242392
0,20,1600,0.856744871,0.95213582,0.008186007,0.006982261,0.003083858,0.003242392
0,21,1600,0.772034864,0.943532571,0.007697216,0.006982261,0.002952299,0.003242392
0,22,1600,0.850686051,0.955843577,0.008273673,0.006982261,0.003075587,0.003242392
0,23,1600,0.849149161,0.955127932,0.008214629,0.006982261,0.003048525,0.003242392
0,24,1600,0.853892139,0.953806191,0.008265905,0.006982261,0.003226403,0.003242392
0,25,1600,0.845308888,0.958239088,0.008181448,0.006982261,0.00313847,0.003242392
0,26,1600,0.834164566,0.950933614,0.008091535,0.006982261,0.003174324,0.003242392
0,27,1600,0.799092688,0.948913629,0.008018366,0.006982261,0.003031183,0.003242392
0,28,1600,0.851001796,0.953965777,0.008241342,0.006982261,0.003079333,0.003242392
0,29,1600,0.850577964,0.959071078,0.008217848,0.006982261,0.003085024,0.003242392
0,30,1600,0.843817072,0.957918993,0.00826462,0.006982261,0.003111974,0.003242392